METHOD,TRADE_ID,FORMATION_DATE,BLOCK_TYPE,PAIR_ID,ENTRY_DIRECTION,LONG_COMPANY,SHORT_COMPANY,ENTRY_SIGNAL_DATE,ENTRY_EXECUTION_DATE,ENTRY_SIGNAL_Z,ENTRY_EXECUTION_Z,EXIT_SIGNAL_DATE,EXIT_EXECUTION_DATE,EXIT_SIGNAL_Z,EXIT_EXECUTION_Z,HOLDING_CALENDAR_DAYS,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NET_PNL,GROSS_RETURN_ON_PAIR_GROSS,NET_RETURN_ON_PAIR_GROSS,EXIT_REASON,ALPHA,BETA
SSD,SSD_20170131_P01_T01,2017-01-31,DEVELOPMENT,DRREDDY__ZYDUS,LONG_A_SHORT_B,DRREDDY,ZYDUS,2017-02-16,2017-02-17,-3.3009423831436933,-4.056211043408621,,2017-07-31,,-9.318598540454966,164,-0.0479624987053782,0.0004524507636628,0.0009534745758842,0.0014059253395471,-0.0493684240449253,-0.1918499948215129,-0.1974736961797013,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20190731_P01_T01,2019-07-31,DEVELOPMENT,BIOCON__GLENMARK,SHORT_A_LONG_B,GLENMARK,BIOCON,2019-08-14,2019-08-16,2.319178086804942,2.694330551781527,,2020-01-31,,7.52779456066159,168,-0.0507746728534296,0.0004410904945741,0.0009957814354114,0.0014368719299856,-0.0522115447834153,-0.213646060735644,-0.2196920283484578,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20210129_P01_T01,2021-01-29,DEVELOPMENT,BIOCON__DRREDDY,LONG_A_SHORT_B,BIOCON,DRREDDY,2021-04-20,2021-04-22,-2.64619114058317,-2.859613222471437,,2021-07-30,,-1.7190192068500296,99,0.0068977282927104,0.0004170444566777,0.0004957499772165,0.0009127944338943,0.0059849338588161,0.0307104830853556,0.0266464845001775,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20210730_P01_T01,2021-07-30,DEVELOPMENT,CIPLA__DRREDDY,SHORT_A_LONG_B,DRREDDY,CIPLA,2021-08-02,2021-08-03,2.110497703303001,2.1775581002518494,,2022-01-31,,3.6819447232008176,181,-0.0120819956264752,0.0004153688592334,0.0008889460425141,0.0013043149017475,-0.0133863105282227,-0.0534362198069891,-0.059204940467224,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20220131_P01_T01,2022-01-31,DEVELOPMENT,CIPLA__TORNTPHARM,SHORT_A_LONG_B,TORNTPHARM,CIPLA,2022-02-08,2022-02-09,2.080948732197992,2.4213002070188065,2022-07-07,2022-07-08,-0.061917398933564,0.0252087834226979,149,0.0179813120528688,0.0004426187623076,0.0007286602630417,0.0011712790253493,0.0168100330275194,0.0808037566890985,0.0755403062189047,MEAN_CROSS,,
SSD,SSD_20220131_P02_T01,2022-01-31,DEVELOPMENT,DRREDDY__SUNPHARMA,LONG_A_SHORT_B,DRREDDY,SUNPHARMA,2022-02-01,2022-02-02,-2.5337172698508037,-2.3738066597959118,,2022-07-29,,-3.4253402280055867,177,-0.0140818948468218,0.0004145968095517,0.0008518806805397,0.0012664774900915,-0.0153483723369133,-0.0632170596010176,-0.0689025858633113,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20220729_P01_T01,2022-07-29,DEVELOPMENT,ALKEM__IPCALAB,LONG_A_SHORT_B,ALKEM,IPCALAB,2022-08-11,2022-08-12,-2.095241802815253,-0.5156713319636924,2022-08-30,2022-09-01,0.0229161223272019,0.0439262995087676,20,0.0035293598343001,0.000422724287491,9.666970736445222e-05,0.0005193939948555,0.0030099658394445,0.0158182080846789,0.0134903405182405,MEAN_CROSS,,
SSD,SSD_20220729_P01_T02,2022-07-29,DEVELOPMENT,ALKEM__IPCALAB,SHORT_A_LONG_B,IPCALAB,ALKEM,2022-09-16,2022-09-19,2.059205754816446,2.5067213615970947,,2023-01-31,,1.216439151661291,134,0.0075854193902236,0.0004211671141579,0.000631392439176,0.0010525595533339,0.0065328598368896,0.0338827547362292,0.0291811534988799,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20220729_P03_T01,2022-07-29,DEVELOPMENT,DRREDDY__SUNPHARMA,LONG_A_SHORT_B,DRREDDY,SUNPHARMA,2022-10-31,2022-11-01,-2.0328560210603763,-2.0658912377647924,,2023-01-31,,-2.4149129444959434,91,-0.0050346788408105,0.0004216396492643,0.0004435563917871,0.0008651960410515,-0.005899874881862,-0.0222655773020074,-0.0260918569799228,WINDOW_END_FORCE_CLOSE,,
SSD,SSD_20230731_P01_T01,2023-07-31,DEVELOPMENT,DRREDDY__TORNTPHARM,SHORT_A_LONG_B,TORNTPHARM,DRREDDY,2023-08-17,2023-08-18,2.024310646406246,2.029405588606524,2023-10-30,2023-10-31,-0.0128695960874887,0.1884146338969436,74,0.0064787421106803,0.0004170118542148,0.0003466203957388,0.0007636322499537,0.0057151098607265,0.0289189773620807,0.0255103737516725,MEAN_CROSS,,
