Symbol,Company,Start_Date,End_Date,Membership_Days
SUNPHARMA,Sun Pharmaceutical Industries,2016-08-01,2018-04-01,609
DRREDDY,Dr. Reddy's Laboratories,2016-08-01,2018-04-01,609
LUPIN,Lupin,2016-08-01,2018-04-01,609
CIPLA,Cipla,2016-08-01,2018-04-01,609
PEL,Piramal Enterprises,2016-08-01,2018-04-01,609
AUROPHARMA,Aurobindo Pharma,2016-08-01,2018-04-01,609
CADILAHC,Cadila Healthcare,2016-08-01,2018-04-01,609
GLENMARK,Glenmark Pharmaceuticals,2016-08-01,2018-04-01,609
DIVISLAB,Divi's Laboratories,2016-08-01,2018-04-01,609
GLAXO,GlaxoSmithKline Pharmaceuticals,2016-08-01,2018-04-01,609
SUNPHARMA,Sun Pharmaceutical Industries,2018-04-02,2020-03-26,725
DRREDDY,Dr. Reddy's Laboratories,2018-04-02,2020-03-26,725
LUPIN,Lupin,2018-04-02,2020-03-26,725
CIPLA,Cipla,2018-04-02,2020-03-26,725
PEL,Piramal Enterprises,2018-04-02,2020-03-26,725
AUROPHARMA,Aurobindo Pharma,2018-04-02,2020-03-26,725
CADILAHC,Cadila Healthcare,2018-04-02,2020-03-26,725
GLENMARK,Glenmark Pharmaceuticals,2018-04-02,2020-03-26,725
DIVISLAB,Divi's Laboratories,2018-04-02,2020-03-26,725
BIOCON,Biocon,2018-04-02,2020-03-26,725
SUNPHARMA,Sun Pharmaceutical Industries,2020-03-27,2021-09-29,552
DRREDDY,Dr. Reddy's Laboratories,2020-03-27,2021-09-29,552
LUPIN,Lupin,2020-03-27,2021-09-29,552
CIPLA,Cipla,2020-03-27,2021-09-29,552
AUROPHARMA,Aurobindo Pharma,2020-03-27,2021-09-29,552
CADILAHC,Cadila Healthcare,2020-03-27,2021-09-29,552
DIVISLAB,Divi's Laboratories,2020-03-27,2021-09-29,552
BIOCON,Biocon,2020-03-27,2021-09-29,552
ALKEM,Alkem Laboratories,2020-03-27,2021-09-29,552
TORNTPHARM,Torrent Pharmaceuticals,2020-03-27,2021-09-29,552
SUNPHARMA,Sun Pharmaceutical Industries,2021-09-30,2022-03-06,158
DRREDDY,Dr. Reddy's Laboratories,2021-09-30,2022-03-06,158
DIVISLAB,Divi's Laboratories,2021-09-30,2022-03-06,158
CIPLA,Cipla,2021-09-30,2022-03-06,158
LUPIN,Lupin,2021-09-30,2022-03-06,158
LAURUSLABS,Laurus Labs,2021-09-30,2022-03-06,158
AUROPHARMA,Aurobindo Pharma,2021-09-30,2022-03-06,158
ALKEM,Alkem Laboratories,2021-09-30,2022-03-06,158
GLAND,Gland Pharma,2021-09-30,2022-03-06,158
BIOCON,Biocon,2021-09-30,2022-03-06,158
TORNTPHARM,Torrent Pharmaceuticals,2021-09-30,2022-03-06,158
IPCALAB,IPCA Laboratories,2021-09-30,2022-03-06,158
CADILAHC,Cadila Healthcare,2021-09-30,2022-03-06,158
ABBOTINDIA,Abbott India,2021-09-30,2022-03-06,158
PFIZER,Pfizer,2021-09-30,2022-03-06,158
NATCOPHARM,Natco Pharma,2021-09-30,2022-03-06,158
GLENMARK,Glenmark Pharmaceuticals,2021-09-30,2022-03-06,158
APLLTD,Alembic Pharmaceuticals,2021-09-30,2022-03-06,158
GRANULES,Granules India,2021-09-30,2022-03-06,158
STAR,Strides Pharma Science,2021-09-30,2022-03-06,158
SUNPHARMA,Sun Pharmaceutical Industries,2022-03-07,2022-09-29,207
DRREDDY,Dr. Reddy's Laboratories,2022-03-07,2022-09-29,207
DIVISLAB,Divi's Laboratories,2022-03-07,2022-09-29,207
CIPLA,Cipla,2022-03-07,2022-09-29,207
LUPIN,Lupin,2022-03-07,2022-09-29,207
LAURUSLABS,Laurus Labs,2022-03-07,2022-09-29,207
AUROPHARMA,Aurobindo Pharma,2022-03-07,2022-09-29,207
ALKEM,Alkem Laboratories,2022-03-07,2022-09-29,207
GLAND,Gland Pharma,2022-03-07,2022-09-29,207
BIOCON,Biocon,2022-03-07,2022-09-29,207
TORNTPHARM,Torrent Pharmaceuticals,2022-03-07,2022-09-29,207
IPCALAB,IPCA Laboratories,2022-03-07,2022-09-29,207
ZYDUSLIFE,Zydus Lifesciences,2022-03-07,2022-09-29,207
ABBOTINDIA,Abbott India,2022-03-07,2022-09-29,207
PFIZER,Pfizer,2022-03-07,2022-09-29,207
NATCOPHARM,Natco Pharma,2022-03-07,2022-09-29,207
GLENMARK,Glenmark Pharmaceuticals,2022-03-07,2022-09-29,207
APLLTD,Alembic Pharmaceuticals,2022-03-07,2022-09-29,207
GRANULES,Granules India,2022-03-07,2022-09-29,207
STAR,Strides Pharma Science,2022-03-07,2022-09-29,207
SUNPHARMA,Sun Pharmaceutical Industries,2022-09-30,2024-03-27,545
DRREDDY,Dr. Reddy's Laboratories,2022-09-30,2024-03-27,545
DIVISLAB,Divi's Laboratories,2022-09-30,2024-03-27,545
CIPLA,Cipla,2022-09-30,2024-03-27,545
LUPIN,Lupin,2022-09-30,2024-03-27,545
LAURUSLABS,Laurus Labs,2022-09-30,2024-03-27,545
AUROPHARMA,Aurobindo Pharma,2022-09-30,2024-03-27,545
ALKEM,Alkem Laboratories,2022-09-30,2024-03-27,545
GLAND,Gland Pharma,2022-09-30,2024-03-27,545
BIOCON,Biocon,2022-09-30,2024-03-27,545
TORNTPHARM,Torrent Pharmaceuticals,2022-09-30,2024-03-27,545
IPCALAB,IPCA Laboratories,2022-09-30,2024-03-27,545
ZYDUSLIFE,Zydus Lifesciences,2022-09-30,2024-03-27,545
ABBOTINDIA,Abbott India,2022-09-30,2024-03-27,545
PFIZER,Pfizer,2022-09-30,2024-03-27,545
NATCOPHARM,Natco Pharma,2022-09-30,2024-03-27,545
GLENMARK,Glenmark Pharmaceuticals,2022-09-30,2024-03-27,545
GRANULES,Granules India,2022-09-30,2024-03-27,545
GLAXO,GlaxoSmithKline Pharmaceuticals,2022-09-30,2024-03-27,545
SANOFI,Sanofi India,2022-09-30,2024-03-27,545
SUNPHARMA,Sun Pharmaceutical Industries,2024-03-28,2024-09-29,186
DRREDDY,Dr. Reddy's Laboratories,2024-03-28,2024-09-29,186
DIVISLAB,Divi's Laboratories,2024-03-28,2024-09-29,186
CIPLA,Cipla,2024-03-28,2024-09-29,186
LUPIN,Lupin,2024-03-28,2024-09-29,186
LAURUSLABS,Laurus Labs,2024-03-28,2024-09-29,186
AUROPHARMA,Aurobindo Pharma,2024-03-28,2024-09-29,186
ALKEM,Alkem Laboratories,2024-03-28,2024-09-29,186
GLAND,Gland Pharma,2024-03-28,2024-09-29,186
BIOCON,Biocon,2024-03-28,2024-09-29,186
TORNTPHARM,Torrent Pharmaceuticals,2024-03-28,2024-09-29,186
IPCALAB,IPCA Laboratories,2024-03-28,2024-09-29,186
ZYDUSLIFE,Zydus Lifesciences,2024-03-28,2024-09-29,186
ABBOTINDIA,Abbott India,2024-03-28,2024-09-29,186
NATCOPHARM,Natco Pharma,2024-03-28,2024-09-29,186
GLENMARK,Glenmark Pharmaceuticals,2024-03-28,2024-09-29,186
GRANULES,Granules India,2024-03-28,2024-09-29,186
JBCHEPHARM,JB Chemicals & Pharmaceuticals,2024-03-28,2024-09-29,186
MANKIND,Mankind Pharma,2024-03-28,2024-09-29,186
SANOFI,Sanofi India,2024-03-28,2024-09-29,186
SUNPHARMA,Sun Pharmaceutical Industries,2024-09-30,2025-09-29,365
DRREDDY,Dr. Reddy's Laboratories,2024-09-30,2025-09-29,365
DIVISLAB,Divi's Laboratories,2024-09-30,2025-09-29,365
CIPLA,Cipla,2024-09-30,2025-09-29,365
LUPIN,Lupin,2024-09-30,2025-09-29,365
LAURUSLABS,Laurus Labs,2024-09-30,2025-09-29,365
AUROPHARMA,Aurobindo Pharma,2024-09-30,2025-09-29,365
ALKEM,Alkem Laboratories,2024-09-30,2025-09-29,365
GLAND,Gland Pharma,2024-09-30,2025-09-29,365
BIOCON,Biocon,2024-09-30,2025-09-29,365
TORNTPHARM,Torrent Pharmaceuticals,2024-09-30,2025-09-29,365
IPCALAB,IPCA Laboratories,2024-09-30,2025-09-29,365
ZYDUSLIFE,Zydus Lifesciences,2024-09-30,2025-09-29,365
ABBOTINDIA,Abbott India,2024-09-30,2025-09-29,365
NATCOPHARM,Natco Pharma,2024-09-30,2025-09-29,365
GLENMARK,Glenmark Pharmaceuticals,2024-09-30,2025-09-29,365
GRANULES,Granules India,2024-09-30,2025-09-29,365
JBCHEPHARM,JB Chemicals & Pharmaceuticals,2024-09-30,2025-09-29,365
MANKIND,Mankind Pharma,2024-09-30,2025-09-29,365
AJANTAPHARM,Ajanta Pharma,2024-09-30,2025-09-29,365
SUNPHARMA,Sun Pharmaceutical Industries,2025-09-30,2026-07-22,296
DRREDDY,Dr. Reddy's Laboratories,2025-09-30,2026-07-22,296
DIVISLAB,Divi's Laboratories,2025-09-30,2026-07-22,296
CIPLA,Cipla,2025-09-30,2026-07-22,296
LUPIN,Lupin,2025-09-30,2026-07-22,296
LAURUSLABS,Laurus Labs,2025-09-30,2026-07-22,296
AUROPHARMA,Aurobindo Pharma,2025-09-30,2026-07-22,296
ALKEM,Alkem Laboratories,2025-09-30,2026-07-22,296
GLAND,Gland Pharma,2025-09-30,2026-07-22,296
BIOCON,Biocon,2025-09-30,2026-07-22,296
TORNTPHARM,Torrent Pharmaceuticals,2025-09-30,2026-07-22,296
IPCALAB,IPCA Laboratories,2025-09-30,2026-07-22,296
ZYDUSLIFE,Zydus Lifesciences,2025-09-30,2026-07-22,296
ABBOTINDIA,Abbott India,2025-09-30,2026-07-22,296
GLENMARK,Glenmark Pharmaceuticals,2025-09-30,2026-07-22,296
JBCHEPHARM,JB Chemicals & Pharmaceuticals,2025-09-30,2026-07-22,296
MANKIND,Mankind Pharma,2025-09-30,2026-07-22,296
AJANTAPHARM,Ajanta Pharma,2025-09-30,2026-07-22,296
PPLPHARMA,Piramal Pharma,2025-09-30,2026-07-22,296
WOCKPHARMA,Wockhardt,2025-09-30,2026-07-22,296
SUNPHARMA,Sun Pharmaceutical Industries,2026-07-23,2026-07-31,9
DRREDDY,Dr. Reddy's Laboratories,2026-07-23,2026-07-31,9
DIVISLAB,Divi's Laboratories,2026-07-23,2026-07-31,9
CIPLA,Cipla,2026-07-23,2026-07-31,9
LUPIN,Lupin,2026-07-23,2026-07-31,9
LAURUSLABS,Laurus Labs,2026-07-23,2026-07-31,9
AUROPHARMA,Aurobindo Pharma,2026-07-23,2026-07-31,9
ALKEM,Alkem Laboratories,2026-07-23,2026-07-31,9
GLAND,Gland Pharma,2026-07-23,2026-07-31,9
BIOCON,Biocon,2026-07-23,2026-07-31,9
TORNTPHARM,Torrent Pharmaceuticals,2026-07-23,2026-07-31,9
IPCALAB,IPCA Laboratories,2026-07-23,2026-07-31,9
ZYDUSLIFE,Zydus Lifesciences,2026-07-23,2026-07-31,9
ABBOTINDIA,Abbott India,2026-07-23,2026-07-31,9
GLENMARK,Glenmark Pharmaceuticals,2026-07-23,2026-07-31,9
MANKIND,Mankind Pharma,2026-07-23,2026-07-31,9
AJANTAPHARM,Ajanta Pharma,2026-07-23,2026-07-31,9
PPLPHARMA,Piramal Pharma,2026-07-23,2026-07-31,9
WOCKPHARMA,Wockhardt,2026-07-23,2026-07-31,9
SAILIFE,Sai Life Sciences,2026-07-23,2026-07-31,9
