DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2022-01-03,ABBOTINDIA,Abbott India,EQ,INE358A01014,19550.0,19620.0,19233.1,19285.1,19286.0,19485.65,9259,179989822.05,3150,LEGACY
2022-01-03,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2255.0,2259.0,2210.1,2214.25,2214.0,2235.55,62478,139039170.85,9780,LEGACY
2022-01-03,ALKEM,Alkem Laboratories,EQ,INE540L01014,3653.0,3655.95,3625.2,3641.1,3645.0,3624.05,75821,276004597.45,6807,LEGACY
2022-01-03,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,802.0,810.0,801.45,808.0,806.0,801.9,272874,220043871.95,9783,LEGACY
2022-01-03,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,738.1,738.9,727.05,732.1,731.3,734.35,1091773,798447565.2,25656,LEGACY
2022-01-03,BIOCON,Biocon,EQ,INE376G01013,364.65,367.5,362.15,362.75,363.25,364.65,868445,316023670.65,13352,LEGACY
2022-01-03,CADILAHC,Cadila Healthcare,EQ,INE010B01027,485.3,486.85,476.0,477.25,477.5,483.15,1322739,634805097.9,21035,LEGACY
2022-01-03,CIPLA,Cipla,EQ,INE059A01026,947.05,947.9,925.8,930.5,931.75,944.1,2013140,1876074732.6,55241,LEGACY
2022-01-03,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,4689.0,4708.75,4642.0,4651.25,4649.0,4678.2,203444,948193693.6,25282,LEGACY
2022-01-03,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,4907.0,4930.3,4847.7,4853.15,4857.0,4907.0,292601,1425786791.15,31353,LEGACY
2022-01-03,GLAND,Gland Pharma,EQ,INE068V01023,3845.0,3894.25,3841.15,3851.3,3845.0,3864.55,67056,259059446.95,14490,LEGACY
2022-01-03,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1763.0,1770.45,1732.0,1737.15,1733.8,1756.65,29512,51675703.25,4100,LEGACY
2022-01-03,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,530.0,531.2,522.3,525.25,524.25,528.55,507942,266843108.15,13179,LEGACY
2022-01-03,GRANULES,Granules India,EQ,INE101D01020,336.2,339.35,333.9,335.95,335.0,336.2,651238,219137623.3,10510,LEGACY
2022-01-03,IPCALAB,IPCA Laboratories,EQ,INE571A01020,2170.0,2186.75,2151.35,2159.6,2156.7,2166.8,136182,295399366.3,10985,LEGACY
2022-01-03,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,1793.8,1804.5,1745.0,1749.5,1748.0,1779.7,91669,161533068.9,7330,LEGACY
2022-01-03,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,543.5,546.65,528.0,528.75,529.75,538.9,1620492,863880464.25,29592,LEGACY
2022-01-03,LUPIN,Lupin,EQ,INE326A01037,951.0,957.0,942.1,945.25,944.1,950.75,773806,733258319.6,16813,LEGACY
2022-01-03,NATCOPHARM,Natco Pharma,EQ,INE987B01026,911.9,927.0,905.35,921.05,925.0,904.65,379378,347212141.75,8126,LEGACY
2022-01-03,PEL,Piramal Enterprises,EQ,INE140A01024,2643.8,2710.0,2643.05,2685.1,2683.05,2643.9,510293,1372663684.3,27915,LEGACY
