DATE,STATUS,ROWS,MESSAGE
2022-01-03,SUCCESS,26,
2022-01-04,SUCCESS,26,
2022-01-05,SUCCESS,26,
2022-01-06,NO_REPORT,0,Likely NSE holiday
2022-01-07,SUCCESS,26,
2022-01-10,SUCCESS,26,
2022-01-11,NO_REPORT,0,Likely NSE holiday
2022-01-12,SUCCESS,26,
2022-01-13,SUCCESS,26,
2022-01-14,SUCCESS,26,
2022-01-17,SUCCESS,26,
2022-01-18,SUCCESS,26,
2022-01-19,SUCCESS,26,
2022-01-20,SUCCESS,26,
2022-01-21,NO_REPORT,0,Likely NSE holiday
2022-01-24,SUCCESS,26,
2022-01-25,SUCCESS,26,
2022-01-26,NO_REPORT,0,Likely NSE holiday
2022-01-27,NO_REPORT,0,Likely NSE holiday
2022-01-28,SUCCESS,26,
2022-01-31,SUCCESS,26,
2022-02-01,SUCCESS,26,
2022-02-02,SUCCESS,26,
2022-02-03,SUCCESS,26,
2022-02-04,SUCCESS,26,
2022-02-07,SUCCESS,26,
2022-02-08,SUCCESS,26,
2022-02-09,SUCCESS,26,
2022-02-10,SUCCESS,26,
2022-02-11,SUCCESS,26,
2022-02-14,SUCCESS,26,
2022-02-15,SUCCESS,26,
2022-02-16,SUCCESS,26,
2022-02-17,SUCCESS,26,
2022-02-18,SUCCESS,26,
2022-02-21,SUCCESS,26,
2022-02-22,SUCCESS,26,
2022-02-23,SUCCESS,26,
2022-02-24,SUCCESS,26,
2022-02-25,SUCCESS,26,
2022-02-28,SUCCESS,26,
2022-03-01,NO_REPORT,0,Likely NSE holiday
2022-03-02,SUCCESS,26,
2022-03-03,SUCCESS,26,
2022-03-04,SUCCESS,26,
2022-03-07,SUCCESS,26,
2022-03-08,NO_REPORT,0,Likely NSE holiday
2022-03-09,SUCCESS,26,
2022-03-10,SUCCESS,26,
2022-03-11,SUCCESS,27,
2022-03-14,SUCCESS,26,
2022-03-15,SUCCESS,26,
2022-03-16,SUCCESS,26,
2022-03-17,SUCCESS,26,
2022-03-18,NO_REPORT,0,Likely NSE holiday
2022-03-21,SUCCESS,26,
2022-03-22,SUCCESS,26,
2022-03-23,SUCCESS,26,
2022-03-24,SUCCESS,26,
2022-03-25,SUCCESS,26,
2022-03-28,SUCCESS,26,
2022-03-29,NO_REPORT,0,Likely NSE holiday
2022-03-30,SUCCESS,26,
2022-03-31,SUCCESS,26,
2022-04-01,SUCCESS,26,
