DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2019-01-14,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/JAN/cm14JAN2019bhav.csv.zip,
2019-01-16,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/JAN/cm16JAN2019bhav.csv.zip,
2019-01-21,2019,RECOVERED,26,https://archives.nseindia.com/content/historical/EQUITIES/2019/JAN/cm21JAN2019bhav.csv.zip,
2019-01-23,2019,RECOVERED,26,https://archives.nseindia.com/content/historical/EQUITIES/2019/JAN/cm23JAN2019bhav.csv.zip,
2019-01-31,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/JAN/cm31JAN2019bhav.csv.zip,
2019-02-04,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/FEB/cm04FEB2019bhav.csv.zip,
2019-02-18,2019,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2019/FEB/cm18FEB2019bhav.csv.zip,
2019-02-27,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/FEB/cm27FEB2019bhav.csv.zip,
2019-03-04,2019,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2019-03-21,2019,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2019-03-22,2019,RECOVERED,26,https://archives.nseindia.com/content/historical/EQUITIES/2019/MAR/cm22MAR2019bhav.csv.zip,
2019-04-01,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/APR/cm01APR2019bhav.csv.zip,
2019-04-16,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/APR/cm16APR2019bhav.csv.zip,
2019-04-17,2019,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2019-04-18,2019,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2019/APR/cm18APR2019bhav.csv.zip,
2019-04-19,2019,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2019-04-29,2019,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
