DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2026-01-01,ABBOTINDIA,Abbott India,EQ,INE358A01014,28860.0,28990.0,28405.0,28485.0,28480.0,29025.0,3948,112856135.0,1977,UDIFF
2026-01-01,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2787.6,2962.0,2744.8,2938.4,2945.2,2768.9,620493,1801912540.2,54004,UDIFF
2026-01-01,ALKEM,Alkem Laboratories,EQ,INE540L01014,5477.0,5519.5,5384.0,5463.5,5465.0,5506.5,44385,241397416.0,8166,UDIFF
2026-01-01,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,843.0,849.0,835.0,837.65,839.0,846.15,26324,22102967.15,3696,UDIFF
2026-01-01,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,1190.0,1197.0,1170.2,1193.0,1197.0,1183.0,412064,486959840.5,14483,UDIFF
2026-01-01,BIOCON,Biocon,EQ,INE376G01013,393.0,393.9,386.1,387.75,388.25,393.9,1345267,522392202.3,22541,UDIFF
2026-01-01,CIPLA,Cipla,EQ,INE059A01026,1512.0,1512.0,1499.0,1500.9,1502.0,1511.3,228078,342494068.2,18814,UDIFF
2026-01-01,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,6398.0,6413.5,6300.0,6344.0,6346.0,6392.5,146473,927470785.5,14323,UDIFF
2026-01-01,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01031,1270.0,1270.0,1248.0,1253.4,1252.0,1271.4,553856,694182331.6,25369,UDIFF
2026-01-01,GLAND,Gland Pharma,EQ,INE068V01023,1716.6,1725.6,1695.0,1715.1,1712.5,1722.0,21105,36038232.8,4038,UDIFF
2026-01-01,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,2476.0,2476.0,2442.5,2455.9,2455.9,2473.6,40789,100184614.7,4133,UDIFF
2026-01-01,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,2034.0,2039.1,2011.0,2026.2,2030.0,2035.2,278356,562980795.5,18243,UDIFF
2026-01-01,GRANULES,Granules India,EQ,INE101D01020,600.4,620.0,600.05,619.2,619.9,598.5,1156936,710829706.9,26217,UDIFF
2026-01-01,IPCALAB,IPCA Laboratories,EQ,INE571A01038,1420.0,1436.6,1391.1,1398.2,1395.5,1418.9,104562,147486910.0,9284,UDIFF
2026-01-01,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01036,1828.6,1835.0,1809.8,1820.0,1820.0,1819.7,92226,167822784.0,3902,UDIFF
2026-01-01,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,1108.0,1115.9,1101.1,1110.4,1113.2,1108.0,959580,1064233155.9,34813,UDIFF
2026-01-01,LUPIN,Lupin,EQ,INE326A01037,2114.0,2114.0,2082.0,2102.8,2106.2,2109.5,380593,796877636.2,11681,UDIFF
2026-01-01,MANKIND,Mankind Pharma,EQ,INE634S01028,2202.0,2202.0,2156.0,2164.6,2164.6,2196.5,85103,184729980.8,8589,UDIFF
2026-01-01,NATCOPHARM,Natco Pharma,EQ,INE987B01026,901.05,901.05,884.2,888.2,889.95,903.05,552559,491388371.95,32152,UDIFF
2026-01-01,PFIZER,Pfizer,EQ,INE182A01018,4940.0,4973.3,4900.5,4915.8,4925.0,4987.7,13941,68736022.8,4373,UDIFF
2026-01-01,PPLPHARMA,Piramal Pharma,EQ,INE0DK501011,172.75,173.34,169.36,169.88,169.95,172.21,2136651,364254792.44,13889,UDIFF
2026-01-01,SAILIFE,Sai Life Sciences,EQ,INE570L01029,905.0,905.0,895.65,900.25,904.0,908.4,31882,28684595.25,2774,UDIFF
2026-01-01,SANOFI,Sanofi India,EQ,INE058A01010,4096.5,4108.0,4079.9,4097.9,4104.0,4087.2,5688,23302671.7,1272,UDIFF
2026-01-01,STAR,Strides Pharma Science,EQ,INE939A01011,906.35,918.0,878.05,911.35,913.1,900.35,263462,236719920.7,12379,UDIFF
2026-01-01,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,1720.0,1726.0,1708.9,1721.1,1725.0,1719.7,877515,1508057870.4,31190,UDIFF
2026-01-01,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,3860.0,3863.5,3815.1,3848.4,3840.0,3850.0,39767,152769119.9,7176,UDIFF
2026-01-01,WOCKPHARMA,Wockhardt,EQ,INE049B01025,1438.0,1443.8,1411.6,1422.9,1421.4,1446.2,449860,641928160.4,17887,UDIFF
2026-01-01,ZYDUSLIFE,Zydus Lifesciences,EQ,INE010B01027,919.8,921.15,907.1,915.05,915.65,914.35,472472,431180008.0,29152,UDIFF
2026-01-02,ABBOTINDIA,Abbott India,EQ,INE358A01014,28485.0,28490.0,27955.0,28125.0,28125.0,28485.0,10295,289262590.0,5149,UDIFF
2026-01-02,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2937.0,3020.8,2902.8,2949.2,2929.0,2938.4,289355,857329745.3,34716,UDIFF
2026-01-02,ALKEM,Alkem Laboratories,EQ,INE540L01014,5498.0,5600.0,5448.5,5592.5,5585.0,5463.5,37645,209016313.0,8886,UDIFF
2026-01-02,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,835.0,847.5,832.7,835.05,838.95,837.65,72417,60758284.3,3224,UDIFF
2026-01-02,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,1200.7,1217.5,1192.0,1215.4,1215.0,1193.0,516055,623459062.5,20358,UDIFF
2026-01-02,BIOCON,Biocon,EQ,INE376G01013,387.75,394.75,386.35,392.95,393.45,387.75,1452427,569485402.8,14749,UDIFF
2026-01-02,CIPLA,Cipla,EQ,INE059A01026,1500.9,1517.8,1498.6,1511.6,1510.0,1500.9,964611,1456106338.9,28980,UDIFF
2026-01-02,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,6351.0,6398.0,6332.5,6392.5,6392.0,6344.0,108528,691250750.5,14089,UDIFF
2026-01-02,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01031,1249.0,1257.6,1236.0,1256.1,1257.6,1253.4,1591218,1983033733.4,30169,UDIFF
2026-01-02,GLAND,Gland Pharma,EQ,INE068V01023,1719.6,1722.0,1683.8,1715.8,1718.0,1715.1,55898,95322486.7,9156,UDIFF
2026-01-02,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,2461.3,2487.7,2443.9,2483.8,2485.0,2455.9,27469,67813862.8,4110,UDIFF
2026-01-02,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,2025.9,2073.0,2021.0,2064.5,2073.0,2026.2,388479,798050215.3,21956,UDIFF
2026-01-02,GRANULES,Granules India,EQ,INE101D01020,621.5,623.85,610.15,615.35,615.0,619.2,675871,415899935.15,18379,UDIFF
2026-01-02,IPCALAB,IPCA Laboratories,EQ,INE571A01038,1403.9,1415.0,1393.1,1404.0,1400.1,1398.2,70796,99458620.7,5989,UDIFF
2026-01-02,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01036,1817.2,1854.5,1806.1,1850.4,1849.9,1820.0,240417,442743224.9,16133,UDIFF
2026-01-02,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,1110.0,1115.9,1103.2,1106.5,1107.0,1110.4,953854,1058360052.5,51816,UDIFF
2026-01-02,LUPIN,Lupin,EQ,INE326A01037,2103.0,2122.1,2095.5,2105.3,2108.0,2102.8,252908,533384548.9,21235,UDIFF
2026-01-02,MANKIND,Mankind Pharma,EQ,INE634S01028,2174.1,2205.0,2163.0,2202.7,2202.0,2164.6,128332,281243264.8,15785,UDIFF
2026-01-02,NATCOPHARM,Natco Pharma,EQ,INE987B01026,888.2,903.0,887.15,893.05,897.5,888.2,454790,407693223.05,21560,UDIFF
2026-01-02,PFIZER,Pfizer,EQ,INE182A01018,4917.5,4941.1,4865.0,4887.2,4890.0,4915.8,15609,76386412.2,4855,UDIFF
2026-01-02,PPLPHARMA,Piramal Pharma,EQ,INE0DK501011,170.1,179.1,170.1,178.48,178.31,169.88,4960834,875742228.35,82809,UDIFF
2026-01-02,SAILIFE,Sai Life Sciences,EQ,INE570L01029,904.0,933.0,900.05,921.7,922.0,900.25,411902,379455403.55,22680,UDIFF
2026-01-02,SANOFI,Sanofi India,EQ,INE058A01010,4100.0,4150.0,4089.0,4141.8,4145.2,4097.9,7556,31164082.6,1929,UDIFF
2026-01-02,STAR,Strides Pharma Science,EQ,INE939A01011,910.0,915.0,897.8,900.75,901.5,911.35,148917,134458320.3,10753,UDIFF
2026-01-02,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,1721.1,1732.0,1719.4,1728.0,1729.9,1721.1,974123,1681533428.7,29743,UDIFF
2026-01-02,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,3856.7,3891.2,3821.0,3885.3,3871.6,3848.4,57479,222526813.8,11583,UDIFF
2026-01-02,WOCKPHARMA,Wockhardt,EQ,INE049B01025,1423.0,1438.0,1401.7,1406.2,1407.9,1422.9,455850,644600956.1,18701,UDIFF
2026-01-02,ZYDUSLIFE,Zydus Lifesciences,EQ,INE010B01027,918.85,918.85,912.0,916.9,917.95,915.05,262095,240003430.5,14651,UDIFF
2026-01-05,ABBOTINDIA,Abbott India,EQ,INE358A01014,28250.0,28250.0,28030.0,28155.0,28155.0,28125.0,3129,88009150.0,1989,UDIFF
2026-01-05,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2977.4,2989.9,2897.0,2912.8,2901.1,2949.2,152384,450510461.7,33925,UDIFF
2026-01-05,ALKEM,Alkem Laboratories,EQ,INE540L01014,5599.0,5616.5,5531.5,5552.5,5569.5,5592.5,42046,234102859.5,13517,UDIFF
2026-01-05,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,841.75,847.95,832.0,837.5,833.0,835.05,61325,51432024.15,7770,UDIFF
2026-01-05,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,1220.0,1222.0,1199.0,1207.4,1207.4,1215.4,644075,779810172.4,24193,UDIFF
2026-01-05,BIOCON,Biocon,EQ,INE376G01013,392.95,398.95,388.45,391.35,391.5,392.95,1485564,584698151.65,20653,UDIFF
2026-01-05,CIPLA,Cipla,EQ,INE059A01026,1511.0,1525.0,1507.2,1519.8,1520.1,1511.6,1532549,2325746394.6,35259,UDIFF
2026-01-05,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,6400.0,6447.0,6345.0,6363.5,6348.5,6392.5,145454,929535243.5,20117,UDIFF
2026-01-05,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01031,1256.0,1262.3,1245.0,1250.0,1247.1,1256.1,1184386,1485074503.1,31452,UDIFF
2026-01-05,GLAND,Gland Pharma,EQ,INE068V01023,1715.8,1722.7,1686.1,1698.2,1698.9,1715.8,281320,475714034.0,8959,UDIFF
2026-01-05,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,2484.9,2484.9,2452.0,2456.2,2455.0,2483.8,44205,108797925.5,7992,UDIFF
2026-01-05,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,2071.5,2091.8,2031.5,2039.2,2039.2,2064.5,333641,688040798.8,18982,UDIFF
2026-01-05,GRANULES,Granules India,EQ,INE101D01020,615.0,617.5,604.25,605.25,604.25,615.35,476983,291230763.1,13874,UDIFF
2026-01-05,IPCALAB,IPCA Laboratories,EQ,INE571A01038,1407.0,1418.0,1394.0,1413.0,1409.5,1404.0,118954,167680965.4,14085,UDIFF
2026-01-05,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01036,1864.7,1866.5,1834.0,1840.2,1838.0,1850.4,131618,242495778.0,12056,UDIFF
2026-01-05,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,1106.5,1113.5,1096.7,1103.2,1106.1,1106.5,1017074,1124308699.6,42740,UDIFF
2026-01-05,LUPIN,Lupin,EQ,INE326A01037,2105.3,2112.2,2073.6,2083.7,2082.2,2105.3,574277,1202725134.2,28117,UDIFF
2026-01-05,MANKIND,Mankind Pharma,EQ,INE634S01028,2205.0,2222.0,2184.7,2195.0,2194.0,2202.7,161264,355256710.9,19161,UDIFF
2026-01-05,NATCOPHARM,Natco Pharma,EQ,INE987B01026,893.85,916.5,888.75,906.1,908.0,893.05,581137,528291418.5,36062,UDIFF
2026-01-05,PFIZER,Pfizer,EQ,INE182A01018,4896.0,4909.2,4851.0,4870.5,4870.4,4887.2,8801,42900410.4,3924,UDIFF
2026-01-05,PPLPHARMA,Piramal Pharma,EQ,INE0DK501011,179.2,182.93,177.98,178.86,179.2,178.48,5009603,904597345.75,61625,UDIFF
2026-01-05,SAILIFE,Sai Life Sciences,EQ,INE570L01029,921.85,966.9,921.8,955.25,956.0,921.7,1360078,1299568004.75,65746,UDIFF
2026-01-05,SANOFI,Sanofi India,EQ,INE058A01010,4164.0,4196.0,4124.1,4191.2,4193.8,4141.8,50053,208303973.0,4575,UDIFF
2026-01-05,STAR,Strides Pharma Science,EQ,INE939A01011,896.35,954.0,896.35,950.65,946.0,900.75,448125,419391521.2,20461,UDIFF
2026-01-05,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,1728.0,1746.0,1723.4,1728.9,1725.7,1728.0,1416698,2458755201.2,55519,UDIFF
2026-01-05,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,3885.3,3900.1,3855.0,3869.8,3872.9,3885.3,100222,388260337.8,16005,UDIFF
2026-01-05,WOCKPHARMA,Wockhardt,EQ,INE049B01025,1408.0,1484.0,1401.0,1452.4,1448.1,1406.2,1876769,2740634794.8,74597,UDIFF
2026-01-05,ZYDUSLIFE,Zydus Lifesciences,EQ,INE010B01027,915.1,924.85,911.45,921.95,922.0,916.9,442298,406770000.5,24652,UDIFF
2026-01-06,ABBOTINDIA,Abbott India,EQ,INE358A01014,28155.0,28515.0,28100.0,28440.0,28420.0,28155.0,8996,255356005.0,4673,UDIFF
2026-01-06,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2912.1,2912.1,2790.4,2844.4,2839.2,2912.8,315412,893421028.7,41952,UDIFF
2026-01-06,ALKEM,Alkem Laboratories,EQ,INE540L01014,5554.5,5679.5,5554.5,5655.5,5654.5,5552.5,86105,483848272.5,16042,UDIFF
2026-01-06,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,838.0,839.9,821.95,825.7,825.05,837.5,69258,57285790.55,8434,UDIFF
2026-01-06,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,1210.0,1238.8,1207.6,1231.3,1233.0,1207.4,1845753,2262082883.1,46677,UDIFF
2026-01-06,BIOCON,Biocon,EQ,INE376G01013,391.45,394.6,382.95,385.15,386.6,391.35,1770828,686878938.95,24564,UDIFF
2026-01-06,CIPLA,Cipla,EQ,INE059A01026,1519.8,1539.7,1519.8,1530.8,1528.6,1519.8,1614326,2469562443.4,41535,UDIFF
2026-01-06,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,6405.5,6660.0,6393.0,6642.5,6651.0,6363.5,732441,4820017037.0,60299,UDIFF
2026-01-06,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01031,1250.0,1258.8,1245.5,1256.2,1255.0,1250.0,540944,677853415.7,27492,UDIFF
2026-01-06,GLAND,Gland Pharma,EQ,INE068V01023,1697.9,1711.0,1685.7,1693.3,1686.5,1698.2,40718,69100933.9,6505,UDIFF
2026-01-06,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,2456.0,2504.0,2437.2,2483.3,2479.8,2456.2,45634,113089733.2,8624,UDIFF
2026-01-06,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,2031.5,2080.8,2031.5,2074.6,2080.8,2039.2,223376,460686801.3,14442,UDIFF
2026-01-06,GRANULES,Granules India,EQ,INE101D01020,603.9,614.0,601.4,612.2,610.15,605.25,558355,340490896.45,20750,UDIFF
2026-01-06,IPCALAB,IPCA Laboratories,EQ,INE571A01038,1419.5,1475.0,1406.4,1469.6,1469.5,1413.0,647078,941111392.6,29787,UDIFF
2026-01-06,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01036,1844.8,1881.3,1835.0,1878.2,1877.7,1840.2,227116,424261764.8,12828,UDIFF
2026-01-06,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,1134.0,1134.0,1105.2,1115.9,1115.7,1103.2,1138196,1268788145.8,36975,UDIFF
2026-01-06,LUPIN,Lupin,EQ,INE326A01037,2083.6,2160.0,2077.0,2149.7,2160.0,2083.7,1795864,3819782130.1,61631,UDIFF
2026-01-06,MANKIND,Mankind Pharma,EQ,INE634S01028,2205.0,2247.3,2185.0,2240.8,2240.2,2195.0,295984,659737041.2,17950,UDIFF
2026-01-06,NATCOPHARM,Natco Pharma,EQ,INE987B01026,909.85,941.0,905.35,925.9,926.0,906.1,1230048,1140386967.95,42553,UDIFF
2026-01-06,PFIZER,Pfizer,EQ,INE182A01018,4852.0,4930.0,4831.7,4907.2,4907.9,4870.5,12730,62198508.7,4206,UDIFF
2026-01-06,PPLPHARMA,Piramal Pharma,EQ,INE0DK501011,179.28,181.85,177.55,180.0,180.2,178.86,3010285,540654766.34,28113,UDIFF
2026-01-06,SAILIFE,Sai Life Sciences,EQ,INE570L01029,962.1,980.25,942.1,976.1,975.5,955.25,614369,592834238.8,38494,UDIFF
2026-01-06,SANOFI,Sanofi India,EQ,INE058A01010,4210.0,4230.1,4155.5,4172.5,4171.0,4191.2,8737,36497818.9,1906,UDIFF
2026-01-06,STAR,Strides Pharma Science,EQ,INE939A01011,945.9,1010.3,941.1,985.1,984.05,950.65,1083527,1068139998.7,49646,UDIFF
2026-01-06,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,1725.7,1762.6,1725.7,1760.2,1760.0,1728.9,1658801,2901552531.8,63551,UDIFF
2026-01-06,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,3879.8,3948.0,3859.8,3936.8,3943.0,3869.8,193169,754793538.8,20176,UDIFF
2026-01-06,WOCKPHARMA,Wockhardt,EQ,INE049B01025,1452.4,1493.0,1443.0,1465.7,1469.8,1452.4,958247,1409168426.0,34244,UDIFF
2026-01-06,ZYDUSLIFE,Zydus Lifesciences,EQ,INE010B01027,921.95,933.1,917.75,931.05,931.4,921.95,450775,418136029.05,21133,UDIFF
2026-01-07,ABBOTINDIA,Abbott India,EQ,INE358A01014,28600.0,28600.0,28140.0,28485.0,28550.0,28440.0,5385,152737085.0,2747,UDIFF
2026-01-07,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2840.0,2885.0,2824.4,2854.0,2855.0,2844.4,199825,570116503.6,19819,UDIFF
2026-01-07,ALKEM,Alkem Laboratories,EQ,INE540L01014,5675.0,5833.0,5634.5,5806.5,5792.0,5655.5,188593,1091296208.0,31029,UDIFF
2026-01-07,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,825.7,841.9,820.85,823.7,821.7,825.7,73777,61110248.3,10005,UDIFF
2026-01-07,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,1236.4,1270.8,1225.2,1235.4,1234.0,1231.3,2361570,2952563319.2,80730,UDIFF
2026-01-07,BIOCON,Biocon,EQ,INE376G01013,387.05,393.55,386.55,387.05,387.0,385.15,4830813,1878997818.6,40489,UDIFF
2026-01-07,CIPLA,Cipla,EQ,INE059A01026,1516.0,1516.0,1455.0,1467.9,1465.3,1530.8,5076416,7486000314.2,163268,UDIFF
2026-01-07,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,6680.0,6731.5,6613.0,6642.5,6647.0,6642.5,423884,2825202480.0,40933,UDIFF
2026-01-07,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01031,1252.6,1265.0,1240.0,1242.8,1244.9,1256.2,1215477,1516803433.0,38856,UDIFF
2026-01-07,GLAND,Gland Pharma,EQ,INE068V01023,1680.7,1710.5,1680.7,1708.4,1710.0,1693.3,91601,155499769.7,12824,UDIFF
