DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2016-01-04,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm04JAN2016bhav.csv.zip,
2016-01-05,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm05JAN2016bhav.csv.zip,
2016-01-06,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm06JAN2016bhav.csv.zip,
2016-01-14,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm14JAN2016bhav.csv.zip,
2016-01-19,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm19JAN2016bhav.csv.zip,
2016-01-26,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-01-27,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm27JAN2016bhav.csv.zip,
2016-02-01,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/FEB/cm01FEB2016bhav.csv.zip,
2016-02-09,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/FEB/cm09FEB2016bhav.csv.zip,
2016-02-18,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/FEB/cm18FEB2016bhav.csv.zip,
2016-02-22,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/FEB/cm22FEB2016bhav.csv.zip,
2016-02-29,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/FEB/cm29FEB2016bhav.csv.zip,
2016-03-07,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-03-14,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAR/cm14MAR2016bhav.csv.zip,
2016-03-17,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAR/cm17MAR2016bhav.csv.zip,
2016-03-24,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-03-25,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-03-28,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAR/cm28MAR2016bhav.csv.zip,
2016-03-29,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAR/cm29MAR2016bhav.csv.zip,
2016-03-31,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAR/cm31MAR2016bhav.csv.zip,
2016-04-04,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/APR/cm04APR2016bhav.csv.zip,
2016-04-06,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/APR/cm06APR2016bhav.csv.zip,
2016-04-08,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/APR/cm08APR2016bhav.csv.zip,
2016-04-14,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-04-15,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-04-19,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-05-06,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAY/cm06MAY2016bhav.csv.zip,
2016-05-17,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAY/cm17MAY2016bhav.csv.zip,
2016-05-19,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAY/cm19MAY2016bhav.csv.zip,
2016-05-27,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/MAY/cm27MAY2016bhav.csv.zip,
2016-06-29,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JUN/cm29JUN2016bhav.csv.zip,
2016-07-06,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-07-21,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/JUL/cm21JUL2016bhav.csv.zip,
2016-08-02,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/AUG/cm02AUG2016bhav.csv.zip,
2016-08-15,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-08-22,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/AUG/cm22AUG2016bhav.csv.zip,
2016-09-05,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-09-09,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/SEP/cm09SEP2016bhav.csv.zip,
2016-09-13,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-09-19,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/SEP/cm19SEP2016bhav.csv.zip,
2016-09-20,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/SEP/cm20SEP2016bhav.csv.zip,
2016-10-04,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/OCT/cm04OCT2016bhav.csv.zip,
2016-10-11,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-10-12,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-10-18,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/OCT/cm18OCT2016bhav.csv.zip,
2016-10-28,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/OCT/cm28OCT2016bhav.csv.zip,
2016-10-31,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-11-02,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/NOV/cm02NOV2016bhav.csv.zip,
2016-11-08,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/NOV/cm08NOV2016bhav.csv.zip,
2016-11-10,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/NOV/cm10NOV2016bhav.csv.zip,
2016-11-14,2016,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2016-11-18,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/NOV/cm18NOV2016bhav.csv.zip,
2016-11-25,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/NOV/cm25NOV2016bhav.csv.zip,
2016-11-28,2016,RECOVERED,24,https://archives.nseindia.com/content/historical/EQUITIES/2016/NOV/cm28NOV2016bhav.csv.zip,
2016-12-29,2016,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2016/DEC/cm29DEC2016bhav.csv.zip,
2017-01-17,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JAN/cm17JAN2017bhav.csv.zip,
2017-01-20,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JAN/cm20JAN2017bhav.csv.zip,
2017-01-26,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-01-27,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JAN/cm27JAN2017bhav.csv.zip,
2017-02-03,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm03FEB2017bhav.csv.zip,
2017-02-07,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm07FEB2017bhav.csv.zip,
2017-02-10,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm10FEB2017bhav.csv.zip,
