YEAR,ORIGINAL_ROWS,NO_REPORT_DATES_TESTED,DATES_RECOVERED,ROWS_RECOVERED,ALREADY_PRESENT,NOT_FOUND_IN_DIRECT_ARCHIVE,ARCHIVE_ERRORS,FINAL_ROWS,FIRST_DATE,LAST_DATE
2016,4955,55,40,961,0,15,0,5916,2016-01-01,2016-12-30
2017,5244,51,39,982,0,12,0,6226,2017-01-02,2017-12-29
2018,5365,49,34,862,0,15,0,6227,2018-01-01,2018-12-31
2019,5219,53,36,905,0,17,0,6124,2019-01-01,2019-12-31
2020,5428,46,34,853,0,12,0,6281,2020-01-01,2020-12-31
2021,5681,43,30,780,0,13,0,6461,2021-01-01,2021-12-31
2022,5668,46,34,892,0,12,0,6560,2022-01-03,2022-12-30
2023,6008,46,31,872,0,15,0,6880,2023-01-02,2023-12-29
2024,6047,51,35,1007,0,16,0,7054,2024-01-01,2024-12-31
2025,6021,52,39,1125,0,13,0,7146,2025-01-01,2025-12-31
2026,3437,29,19,533,0,10,0,3970,2026-01-01,2026-07-31
