LEDGER_ID,SOURCE_ROW_NUMBER,EX_DATE,RECORD_DATE,COMPANY_ID,SYMBOL,PRICE_SYMBOL,SERIES,PURPOSE,PURPOSE_NORMALIZED,ACTION_TAGS,PRIMARY_CLASS,TREATMENT_CODE,RESEARCH_RELEVANCE,STRUCTURAL_BREAK_FLAG,SPECIAL_DIVIDEND_FLAG,AUTO_TERMS_READY,MANUAL_REVIEW_REQUIRED,REVIEW_REASON,DIVIDEND_RUPEES_PER_SHARE,DIVIDEND_PARSE_STATUS,BONUS_NEW_SHARES,BONUS_EXISTING_SHARES,BONUS_SHARE_MULTIPLIER,BONUS_PARSE_STATUS,SPLIT_OLD_FACE_VALUE,SPLIT_NEW_FACE_VALUE,SPLIT_SHARE_MULTIPLIER,SPLIT_PARSE_STATUS,RIGHTS_NEW_SHARES,RIGHTS_EXISTING_SHARES,RIGHTS_RATIO_PARSE_STATUS,EQ_PRICE_ON_EX_DATE,EQ_CLOSE_ON_EX_DATE,COMPANY,NSE_COMPANY_NAME,FACE_VALUE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
CA0001,1,2016-02-08,2016-02-09,GRANULES,GRANULES,GRANULES,EQ,Interim Dividend - Re 0.15/- Per Share,INTERIM DIVIDEND - RE 0.15/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,0.15,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,120.8,Granules India,Granules India Limited,1,,,,
CA0002,2,2016-02-11,2016-02-12,TORNTPHARM,TORNTPHARM,TORNTPHARM,EQ,Interim Dividend - Rs 20/- Per Share (Purpose Revised),INTERIM DIVIDEND - RS 20/- PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,20.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1266.1,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,5,,,,
CA0003,3,2016-02-18,2016-02-22,AUROPHARMA,AUROPHARMA,AUROPHARMA,EQ,Interim Dividend- Re 0.70/- Per Share,INTERIM DIVIDEND- RE 0.70/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,0.7,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,668.0,Aurobindo Pharma,Aurobindo Pharma Limited,1,,,,
CA0004,4,2016-02-22,2016-02-23,NATCOPHARM,NATCOPHARM,NATCOPHARM,EQ,Interim Dividend - Rs 1.25/- Per Share,INTERIM DIVIDEND - RS 1.25/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,1.25,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,477.55,Natco Pharma,Natco Pharma Limited,2,,,,
CA0005,5,2016-03-16,2016-03-17,TORNTPHARM,TORNTPHARM,TORNTPHARM,EQ,Interim Dividend - Rs 15/- Per Share (Purpose Revised),INTERIM DIVIDEND - RS 15/- PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,15.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1254.25,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,5,,,,
CA0006,6,2016-03-17,2016-03-19,AJANTPHARM,AJANTPHARM,AJANTPHARM,EQ,Interim Dividend - Rs 8/- Per Share,INTERIM DIVIDEND - RS 8/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,8.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1358.8,Ajanta Pharma,Ajanta Pharma Limited,2,,,,
CA0007,7,2016-03-17,2016-03-19,BIOCON,BIOCON,BIOCON,EQ,Interim Dividend - Rs 5/- Per Share (Purpose Revised),INTERIM DIVIDEND - RS 5/- PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,5.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,463.95,Biocon,Biocon Limited,5,,,,
CA0008,8,2016-03-17,2016-03-18,DIVISLAB,DIVISLAB,DIVISLAB,EQ,Interim Dividend - Rs 10/- Per Share (Purpose Revised),INTERIM DIVIDEND - RS 10/- PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,10.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,975.2,Divi's Laboratories,Divi's Laboratories Limited,2,,,,
CA0009,9,2016-03-17,2016-03-19,JBCHEPHARM,JBCHEPHARM,JBCHEPHARM,EQ,Interim Dividend -Rs 4.50/- Per Share (Purpose Revised),INTERIM DIVIDEND -RS 4.50/- PER SHARE (PURPOSE REVISED),DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,4.5,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,254.0,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,1,,,,
CA0010,10,2016-03-17,2016-03-19,PEL,PEL,PEL,EQ,Interim Dividend -Rs 17.50/- Per Share,INTERIM DIVIDEND -RS 17.50/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,17.5,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,939.1,Piramal Enterprises,Piramal Enterprises Limited,2,,,,
