SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Re 0.15/- Per Share,1,2016-02-08,2016-02-09,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 20/- Per Share (Purpose Revised),5,2016-02-11,2016-02-12,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend- Re 0.70/- Per Share,1,2016-02-18,2016-02-22,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25/- Per Share,2,2016-02-22,2016-02-23,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 15/- Per Share (Purpose Revised),5,2016-03-16,2016-03-17,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 8/- Per Share,2,2016-03-17,2016-03-19,,,,
BIOCON,Biocon,Biocon Limited,EQ,Interim Dividend - Rs 5/- Per Share (Purpose Revised),5,2016-03-17,2016-03-19,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Interim Dividend - Rs 10/- Per Share (Purpose Revised),2,2016-03-17,2016-03-18,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend -Rs 4.50/- Per Share (Purpose Revised),1,2016-03-17,2016-03-19,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Interim Dividend -Rs 17.50/- Per Share,2,2016-03-17,2016-03-19,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Interim Dividend - Rs 3.20/- Per Share,1,2016-03-17,2016-03-18,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend -Rs 9.70/- Per Share,2,2016-03-18,2016-03-21,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Final Dividend - Rs 25/- Per Share + Special Dividend - Rs 22/- Per Share,10,2016-04-13,,2016-04-19,2016-04-29,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Re 0.70/- Per Share,1,2016-06-09,2016-06-10,,,,
BIOCON,Biocon,Biocon Limited,EQ,Annual General Meeting,5,2016-06-22,,2016-06-24,2016-06-30,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Annual General Meeting,2,2016-06-24,,2016-06-28,2016-07-05,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs.15/- Per Share,10,2016-06-27,,2016-06-29,2016-07-05,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting/Divided - Rs 35/- Per Share,10,2016-07-08,,2016-07-12,2016-07-18,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Buy Back,1,2016-07-14,2016-07-15,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend Rs 50/- Per Share,10,2016-07-15,,2016-07-19,2016-07-28,,
