FORMATION_DATE,BLOCK_TYPE,N_FINAL_INVESTABLE,FINAL_INVESTABLE_COMPANIES
2017-01-31,DEVELOPMENT,8,AUROPHARMA;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;SUNPHARMA;ZYDUS
2017-07-31,DEVELOPMENT,9,AUROPHARMA;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;PEL;SUNPHARMA;ZYDUS
2018-01-31,DEVELOPMENT,9,AUROPHARMA;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;PEL;SUNPHARMA;ZYDUS
2018-07-31,DEVELOPMENT,10,AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;PEL;SUNPHARMA;ZYDUS
2019-01-31,DEVELOPMENT,10,AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;PEL;SUNPHARMA;ZYDUS
2019-07-31,DEVELOPMENT,10,AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;PEL;SUNPHARMA;ZYDUS
2020-01-31,DEVELOPMENT,10,AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LUPIN;PEL;SUNPHARMA;ZYDUS
2020-07-31,DEVELOPMENT,9,AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2021-01-29,DEVELOPMENT,9,AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2021-07-30,DEVELOPMENT,10,ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2022-01-31,DEVELOPMENT,18,ABBOTINDIA;ALKEM;APLLTD;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;PFIZER;STAR;SUNPHARMA;TORNTPHARM;ZYDUS
2022-07-29,DEVELOPMENT,15,ABBOTINDIA;ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2023-01-31,DEVELOPMENT,15,ABBOTINDIA;ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2023-07-31,DEVELOPMENT,15,ABBOTINDIA;ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2024-01-31,DEVELOPMENT,15,ABBOTINDIA;ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2024-07-31,OOS,15,ABBOTINDIA;ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2025-01-31,OOS,15,ABBOTINDIA;ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;IPCALAB;LAURUSLABS;LUPIN;SUNPHARMA;TORNTPHARM;ZYDUS
2025-07-31,OOS,14,ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;GRANULES;LAURUSLABS;LUPIN;MANKIND;SUNPHARMA;TORNTPHARM;ZYDUS
2026-01-30,OOS,14,ALKEM;AUROPHARMA;BIOCON;CIPLA;DIVISLAB;DRREDDY;GLENMARK;LAURUSLABS;LUPIN;MANKIND;PPLPHARMA;SUNPHARMA;TORNTPHARM;ZYDUS
