METRIC,SSD,ENGLE_GRANGER
Comparison start date,2017-02-01,2017-02-01
Comparison end date,2026-07-31,2026-07-31
Selected pair-periods,19,6
Trades,20,10
Hit rate,0.5,0.7
Convergence rate,0.4,0.7
Forced-close rate,0.6,0.3
Mean holding days,94.65,78.2
Median holding days,89.5,70.5
Gross return before costs,-0.0853953283571073,0.05315079985584
Net return at 1x costs,-0.1037821218516218,0.0434141321104848
CAGR at 1x,-0.0116959031762411,0.0045735009254601
Annualized volatility,0.0287501043315588,0.0196420283870004
Sharpe,-0.3948389390876073,0.2421295429772171
Sortino,-0.5498402985883655,0.3534370769035297
Maximum drawdown,-0.1290495770628978,-0.0269924332040103
Calmar,-0.090631084908869,0.1694364080071396
Average gross exposure / NAV,0.1382543958069541,0.0596654872880198
Average absolute net exposure / NAV,0.0043757470412838,0.0082155291645007
Total turnover / NAV,10.11071575870404,5.1720327066187535
NIFTY500 beta,0.0080039459889093,0.0011622149280712
NIFTY500 correlation,0.0455368218192574,0.0096509596875719
Capacity rupees,8664481.696,14800270.557486393
Transaction costs / initial NAV,0.0086656695730945,0.0050947563263103
Financing costs / initial NAV,0.0096950619241063,0.0043653230278697
Total costs / initial NAV,0.0183607314972009,0.0094600793541801
OOS selected pair-periods,6,0
OOS trades,9,0
OOS net return at 1x,0.0009040779312614,0.0
